rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
102,frame_0184.jpg,73.6,0.4994,0.624,0.5714,0.08,5,4,False,False
103,frame_0379.jpg,151.6,0.4985,0.5525,0.7143,0.04,9,5,False,False
104,frame_0328.jpg,131.2,0.4952,0.6156,0.5714,0.08,12,4,False,False
105,frame_0305.jpg,122.0,0.4942,0.5336,0.5714,0.28,6,4,False,False
106,frame_0098.jpg,39.2,0.4936,0.6284,0.5714,0.04,7,4,False,False
107,frame_0329.jpg,131.6,0.4923,0.6954,0.4286,0.08,10,3,False,False
108,frame_0301.jpg,120.4,0.492,0.6365,0.2857,0.44,7,2,False,False
109,frame_0232.jpg,92.8,0.4917,0.5605,0.5714,0.2,9,4,False,False
110,frame_0278.jpg,111.2,0.4906,0.6817,0.2857,0.32,8,2,False,False
111,frame_0203.jpg,81.2,0.4894,0.4656,0.4286,0.64,3,3,False,False
112,frame_0304.jpg,121.6,0.4874,0.6754,0.2857,0.32,5,2,False,False
113,frame_0274.jpg,109.6,0.4871,0.5673,0.5714,0.16,6,4,False,False
114,frame_0389.jpg,155.6,0.4865,0.6679,0.4286,0.12,9,3,False,False
115,frame_0286.jpg,114.4,0.4822,0.537,0.2857,0.64,5,2,False,False
116,frame_0168.jpg,67.2,0.4804,0.5654,0.2857,0.56,6,2,False,False
117,frame_0017.jpg,6.8,0.4769,0.3823,0.2857,1.0,7,2,False,False
118,frame_0282.jpg,112.8,0.4768,0.5045,0.4286,0.48,6,3,False,False
119,frame_0097.jpg,38.8,0.4727,0.5706,0.5714,0.08,6,4,False,False
120,frame_0019.jpg,7.6,0.4715,0.543,0.0,1.0,2,0,False,False
121,frame_0089.jpg,35.6,0.4712,0.5253,0.4286,0.4,6,3,False,False
122,frame_0385.jpg,154.0,0.47,0.6028,0.4286,0.2,6,3,False,False
123,frame_0396.jpg,158.4,0.47,0.6189,0.4286,0.16,8,3,False,False
124,frame_0390.jpg,156.0,0.4697,0.5646,0.5714,0.08,9,4,False,False
125,frame_0115.jpg,46.0,0.4688,0.5524,0.4286,0.32,7,3,False,False
126,frame_0175.jpg,70.0,0.4656,0.7334,0.1429,0.28,6,1,False,False
127,frame_0269.jpg,107.6,0.4635,0.5681,0.5714,0.04,4,4,False,False
128,frame_0308.jpg,123.2,0.4617,0.6022,0.4286,0.16,6,3,False,False
129,frame_0208.jpg,83.2,0.4612,0.4469,0.2857,0.76,4,2,False,False
130,frame_0081.jpg,32.4,0.4607,0.3762,0.4286,0.72,5,3,False,False
131,frame_0229.jpg,91.6,0.46,0.5452,0.5714,0.08,7,4,False,False
132,frame_0178.jpg,71.2,0.4585,0.5101,0.5714,0.16,5,4,False,False
133,frame_0013.jpg,5.2,0.4565,0.4273,0.1429,1.0,3,1,False,False
134,frame_0386.jpg,154.4,0.4542,0.6409,0.2857,0.24,9,2,False,False
135,frame_0090.jpg,36.0,0.4511,0.4154,0.5714,0.36,5,4,False,False
136,frame_0177.jpg,70.8,0.4508,0.4787,0.5714,0.2,7,4,False,False
137,frame_0320.jpg,128.0,0.4491,0.545,0.4286,0.24,6,3,False,False
138,frame_0321.jpg,128.4,0.4478,0.4728,0.5714,0.2,6,4,False,False
139,frame_0307.jpg,122.8,0.4467,0.5563,0.4286,0.2,8,3,False,False
140,frame_0185.jpg,74.0,0.446,0.6029,0.4286,0.08,8,3,False,False
141,frame_0281.jpg,112.4,0.4454,0.4576,0.4286,0.44,5,3,False,False
142,frame_0391.jpg,156.4,0.4434,0.5279,0.5714,0.04,9,4,False,False
143,frame_0202.jpg,80.8,0.4423,0.5588,0.1429,0.6,5,1,False,False
144,frame_0268.jpg,107.2,0.4389,0.503,0.5714,0.08,6,4,False,False
145,frame_0095.jpg,38.0,0.4378,0.4687,0.5714,0.16,6,4,False,False
146,frame_0272.jpg,108.8,0.4376,0.6718,0.2857,0.08,2,2,False,False
147,frame_0118.jpg,47.2,0.4375,0.5276,0.2857,0.44,6,2,False,False
148,frame_0026.jpg,10.4,0.4369,0.3881,0.1429,1.0,3,1,False,False
149,frame_0206.jpg,82.4,0.4364,0.483,0.1429,0.76,3,1,False,False
150,frame_0123.jpg,49.2,0.436,0.6161,0.0,0.64,5,0,False,False
151,frame_0121.jpg,48.4,0.4332,0.4709,0.2857,0.56,4,2,False,False
152,frame_0171.jpg,68.4,0.4329,0.4327,0.4286,0.44,7,3,False,False
153,frame_0207.jpg,82.8,0.4314,0.3713,0.2857,0.8,3,2,False,False
154,frame_0280.jpg,112.0,0.431,0.5305,0.2857,0.4,7,2,False,False
155,frame_0383.jpg,153.2,0.4302,0.4696,0.5714,0.12,10,4,False,False
156,frame_0289.jpg,115.6,0.4299,0.5557,0.0,0.76,4,0,False,False
157,frame_0319.jpg,127.6,0.4292,0.4036,0.5714,0.28,8,4,False,False
158,frame_0180.jpg,72.0,0.4284,0.5677,0.4286,0.08,6,3,False,False
159,frame_0025.jpg,10.0,0.4281,0.4561,0.0,1.0,2,0,False,False
160,frame_0117.jpg,46.8,0.4229,0.5143,0.2857,0.4,6,2,False,False
161,frame_0183.jpg,73.2,0.4227,0.7437,0.1429,0.04,4,1,False,False
162,frame_0303.jpg,121.2,0.4203,0.5252,0.2857,0.36,4,2,False,False
163,frame_0128.jpg,51.2,0.417,0.4979,0.0,0.84,5,0,False,False
164,frame_0220.jpg,88.0,0.4164,0.635,0.1429,0.28,3,1,False,False
165,frame_0322.jpg,128.8,0.4146,0.508,0.4286,0.16,6,3,False,False
166,frame_0370.jpg,148.0,0.4112,0.635,0.2857,0.04,6,2,False,False
167,frame_0298.jpg,119.2,0.4111,0.5125,0.1429,0.56,5,1,False,False
168,frame_0088.jpg,35.2,0.4109,0.4743,0.2857,0.44,5,2,False,False
169,frame_0233.jpg,93.2,0.4061,0.4591,0.4286,0.24,5,3,False,False
170,frame_0225.jpg,90.0,0.402,0.5149,0.4286,0.08,6,3,False,False
171,frame_0109.jpg,43.6,0.4006,0.512,0.4286,0.08,7,3,False,False
172,frame_0179.jpg,71.6,0.3958,0.5722,0.2857,0.12,5,2,False,False
173,frame_0104.jpg,41.6,0.3936,0.4821,0.4286,0.12,3,3,False,False
174,frame_0131.jpg,52.4,0.3928,0.3158,0.1429,0.96,5,1,False,False
175,frame_0120.jpg,48.0,0.3927,0.406,0.2857,0.52,4,2,False,False
176,frame_0086.jpg,34.4,0.3891,0.313,0.4286,0.52,4,3,False,False
177,frame_0310.jpg,124.0,0.3891,0.489,0.4286,0.08,5,3,False,False
178,frame_0309.jpg,123.6,0.3856,0.466,0.4286,0.12,5,3,False,False
179,frame_0300.jpg,120.0,0.3854,0.4073,0.2857,0.48,7,2,False,False
180,frame_0226.jpg,90.4,0.3827,0.4922,0.4286,0.04,6,3,False,False
181,frame_0211.jpg,84.4,0.3814,0.421,0.1429,0.64,2,1,False,False
182,frame_0395.jpg,158.0,0.3793,0.4535,0.4286,0.12,6,3,False,False
183,frame_0010.jpg,4.0,0.3782,0.3565,0.0,1.0,3,0,False,False
184,frame_0022.jpg,8.8,0.3766,0.2675,0.1429,1.0,3,1,False,False
185,frame_0085.jpg,34.0,0.3766,0.4435,0.1429,0.56,4,1,False,False
186,frame_0399.jpg,159.6,0.3744,0.3796,0.4286,0.28,6,3,False,False
187,frame_0214.jpg,85.6,0.3743,0.4548,0.1429,0.52,3,1,False,False
188,frame_0027.jpg,10.8,0.3735,0.2613,0.1429,1.0,4,1,False,False
189,frame_0080.jpg,32.0,0.3688,0.2621,0.2857,0.76,7,2,False,False
190,frame_0277.jpg,110.8,0.3687,0.5396,0.1429,0.28,7,1,False,False
191,frame_0119.jpg,47.6,0.3665,0.3695,0.2857,0.48,4,2,False,False
192,frame_0394.jpg,157.6,0.3655,0.5275,0.2857,0.08,4,2,False,False
193,frame_0102.jpg,40.8,0.3643,0.5948,0.1429,0.12,2,1,False,False
194,frame_0198.jpg,79.2,0.3626,0.4635,0.1429,0.44,2,1,False,False
195,frame_0193.jpg,77.2,0.3619,0.3707,0.4286,0.24,6,3,False,False
196,frame_0084.jpg,33.6,0.3615,0.3116,0.2857,0.6,4,2,False,False
197,frame_0196.jpg,78.4,0.3612,0.4927,0.1429,0.36,2,1,False,False
198,frame_0318.jpg,127.2,0.3574,0.533,0.1429,0.24,7,1,False,False
199,frame_0317.jpg,126.8,0.3538,0.4562,0.2857,0.2,7,2,False,False
200,frame_0172.jpg,68.8,0.3475,0.3635,0.2857,0.4,7,2,False,False
201,frame_0221.jpg,88.4,0.3461,0.3391,0.4286,0.24,6,3,False,False
202,frame_0215.jpg,86.0,0.3457,0.3279,0.2857,0.48,4,2,False,False
203,frame_0333.jpg,133.2,0.3445,0.4856,0.2857,0.08,9,2,False,False
204,frame_0204.jpg,81.6,0.3444,0.331,0.1429,0.68,2,1,False,False
205,frame_0372.jpg,148.8,0.344,0.4686,0.2857,0.12,6,2,False,False
206,frame_0314.jpg,125.6,0.3428,0.4822,0.2857,0.08,5,2,False,False
207,frame_0032.jpg,12.8,0.3406,0.2811,0.0,1.0,6,0,False,False
208,frame_0323.jpg,129.2,0.34,0.3748,0.4286,0.12,7,3,False,False
209,frame_0205.jpg,82.0,0.3381,0.3024,0.1429,0.72,2,1,False,False
210,frame_0224.jpg,89.6,0.3366,0.5394,0.1429,0.12,3,1,False,False
211,frame_0223.jpg,89.2,0.3342,0.4329,0.2857,0.16,5,2,False,False
212,frame_0218.jpg,87.2,0.3296,0.5152,0.0,0.36,4,0,False,False
213,frame_0267.jpg,106.8,0.3291,0.5244,0.1429,0.12,4,1,False,False
214,frame_0213.jpg,85.2,0.3273,0.3448,0.1429,0.56,4,1,False,False
215,frame_0108.jpg,43.2,0.3205,0.4536,0.2857,0.04,6,2,False,False
216,frame_0271.jpg,108.4,0.32,0.5382,0.1429,0.04,2,1,False,False
217,frame_0222.jpg,88.8,0.3182,0.3849,0.2857,0.2,4,2,False,False
218,frame_0100.jpg,40.0,0.3165,0.4455,0.2857,0.04,4,2,False,False
219,frame_0212.jpg,84.8,0.3144,0.303,0.1429,0.6,3,1,False,False
220,frame_0191.jpg,76.4,0.3137,0.4776,0.1429,0.16,6,1,False,False
221,frame_0313.jpg,125.2,0.3133,0.5249,0.1429,0.04,3,1,False,False
222,frame_0194.jpg,77.6,0.3132,0.343,0.2857,0.28,5,2,False,False
223,frame_0190.jpg,76.0,0.3124,0.4054,0.2857,0.12,4,2,False,False
224,frame_0181.jpg,72.4,0.3102,0.3472,0.4286,0.04,7,3,False,False
225,frame_0192.jpg,76.8,0.3099,0.3684,0.2857,0.2,5,2,False,False
226,frame_0216.jpg,86.4,0.3097,0.4433,0.0,0.44,3,0,False,False
227,frame_0199.jpg,79.6,0.3084,0.339,0.1429,0.48,1,1,False,False
228,frame_0200.jpg,80.0,0.302,0.3102,0.1429,0.52,2,1,False,False
229,frame_0112.jpg,44.8,0.3005,0.521,0.0,0.2,5,0,False,False
230,frame_0228.jpg,91.2,0.2998,0.4122,0.2857,0.04,5,2,False,False
231,frame_0093.jpg,37.2,0.2964,0.3253,0.2857,0.24,4,2,False,False
232,frame_0083.jpg,33.2,0.2955,0.2492,0.1429,0.64,4,1,False,False
233,frame_0381.jpg,152.4,0.2952,0.403,0.2857,0.04,6,2,False,False
234,frame_0189.jpg,75.6,0.2947,0.4716,0.1429,0.08,5,1,False,False
235,frame_0023.jpg,9.2,0.2937,0.1873,0.0,1.0,3,0,False,False
236,frame_0092.jpg,36.8,0.2924,0.387,0.1429,0.28,4,1,False,False
237,frame_0283.jpg,113.2,0.2893,0.3707,0.0,0.52,5,0,False,False
238,frame_0371.jpg,148.4,0.2884,0.459,0.1429,0.08,5,1,False,False
239,frame_0373.jpg,149.2,0.2848,0.4199,0.1429,0.16,6,1,False,False
240,frame_0096.jpg,38.4,0.283,0.518,0.0,0.12,7,0,False,False
241,frame_0273.jpg,109.2,0.2805,0.3416,0.2857,0.12,5,2,False,False
242,frame_0382.jpg,152.8,0.2778,0.4378,0.1429,0.08,10,1,False,False
243,frame_0111.jpg,44.4,0.2731,0.3108,0.2857,0.16,5,2,False,False
244,frame_0101.jpg,40.4,0.2706,0.4235,0.1429,0.08,4,1,False,False
245,frame_0094.jpg,37.6,0.2679,0.3701,0.1429,0.2,5,1,False,False
246,frame_0316.jpg,126.4,0.2619,0.2883,0.2857,0.16,7,2,False,False
247,frame_0103.jpg,41.2,0.2594,0.369,0.1429,0.16,4,1,False,False
248,frame_0197.jpg,78.8,0.2587,0.2717,0.1429,0.4,2,1,False,False
249,frame_0219.jpg,87.6,0.247,0.2803,0.1429,0.32,4,1,False,False
250,frame_0324.jpg,129.6,0.2378,0.2721,0.2857,0.08,7,2,False,False
251,frame_0082.jpg,32.8,0.2334,0.1948,0.0,0.68,5,0,False,False
252,frame_0195.jpg,78.0,0.2278,0.3275,0.0,0.32,4,0,False,False
253,frame_0393.jpg,157.2,0.2271,0.2668,0.2857,0.04,6,2,False,False
254,frame_0311.jpg,124.4,0.2178,0.2482,0.2857,0.04,4,2,False,False
255,frame_0325.jpg,130.0,0.1631,0.2245,0.1429,0.04,4,1,False,False
256,frame_0110.jpg,44.0,0.0823,0.1165,0.0,0.12,2,0,False,False
